epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7958,3.27437,13.0378,2.7697,0.19626,0.19396,0.15225,0.05824,4.72937,30.0327,4.25144,0.000657778,0.000657778,0.000657778
2,78.9059,2.92649,2.08206,2.5957,0.32,0.37958,0.18953,0.05381,5.2974,27.044,4.89935,0.00129822,0.00129822,0.00129822
3,117.864,2.74324,1.61393,2.48898,0.78509,0.64052,0.67218,0.30412,3.94302,4.02455,3.96737,0.00191226,0.00191226,0.00191226
4,155.114,2.69039,1.47868,2.47627,0.88782,0.88443,0.91331,0.46067,3.38244,2.08946,3.32455,0.0018812,0.0018812,0.0018812
5,192.28,2.4456,1.31555,2.31638,0.914,0.69685,0.80936,0.41779,3.50544,2.73493,3.41537,0.0018416,0.0018416,0.0018416
6,230.665,2.26168,1.2116,2.26549,0.91359,0.84008,0.93509,0.50735,3.32154,1.39011,3.29566,0.001802,0.001802,0.001802
7,269.661,2.24882,1.15852,2.21742,0.90363,0.75594,0.82254,0.42893,3.37853,3.41186,3.26546,0.0017624,0.0017624,0.0017624
8,307.962,2.14907,1.10916,2.17364,0.94525,0.88706,0.93423,0.50143,3.3632,1.30659,3.31147,0.0017228,0.0017228,0.0017228
9,344.695,2.01944,1.05175,2.12672,0.94844,0.9333,0.97214,0.55134,3.11627,1.14098,3.13841,0.0016832,0.0016832,0.0016832
10,382.283,1.96643,0.98332,2.09973,0.88599,0.81358,0.89553,0.44978,3.59815,1.61828,3.52745,0.0016436,0.0016436,0.0016436
11,419.2,1.85852,1.00138,2.07021,0.94533,0.85508,0.93498,0.53523,3.14426,1.38879,3.1414,0.001604,0.001604,0.001604
12,457.888,1.79853,0.92273,2.02875,0.92132,0.87347,0.94393,0.51735,3.32905,1.40768,3.29525,0.0015644,0.0015644,0.0015644
13,497.281,1.73162,0.88708,2.00835,0.91607,0.89728,0.95043,0.53769,3.30568,1.27751,3.25615,0.0015248,0.0015248,0.0015248
14,535.946,1.7077,0.87187,2.00728,0.93486,0.85725,0.93574,0.5541,3.13041,1.57177,3.14529,0.0014852,0.0014852,0.0014852
15,573.23,1.67567,0.82809,1.99334,0.91931,0.84884,0.93233,0.52331,3.33438,1.41921,3.25078,0.0014456,0.0014456,0.0014456
16,610.611,1.65619,0.8393,1.95411,0.95137,0.91715,0.95465,0.54038,3.18887,1.12943,3.20379,0.001406,0.001406,0.001406
17,648.507,1.59567,0.80611,1.95257,0.94394,0.87595,0.95166,0.53164,3.3308,1.25529,3.23262,0.0013664,0.0013664,0.0013664
18,685.949,1.51938,0.76917,1.91384,0.9403,0.85985,0.94451,0.5369,3.21041,1.41497,3.20607,0.0013268,0.0013268,0.0013268
19,723.144,1.47224,0.73958,1.88707,0.96766,0.9088,0.9643,0.56383,3.15235,1.13583,3.16839,0.0012872,0.0012872,0.0012872
20,761.102,1.45586,0.74114,1.8897,0.96593,0.91137,0.96129,0.5678,3.1156,1.13965,3.15842,0.0012476,0.0012476,0.0012476
21,799.128,1.42063,0.72482,1.88241,0.96882,0.89807,0.95469,0.54892,3.14837,1.17747,3.16488,0.001208,0.001208,0.001208
22,835.134,1.40876,0.72666,1.8869,0.96149,0.85228,0.93417,0.56487,3.06649,1.4333,3.12457,0.0011684,0.0011684,0.0011684
23,872.129,1.41271,0.71697,1.87486,0.95435,0.91265,0.95555,0.55361,3.19532,1.1431,3.21616,0.0011288,0.0011288,0.0011288
24,909.552,1.38654,0.71285,1.87166,0.96696,0.84583,0.93175,0.56855,3.10507,1.44714,3.14863,0.0010892,0.0010892,0.0010892
25,946.215,1.36143,0.70255,1.85329,0.96245,0.90549,0.95203,0.57819,3.08633,1.2672,3.09793,0.0010496,0.0010496,0.0010496
26,985.532,1.29815,0.68463,1.84714,0.9552,0.88953,0.95643,0.54727,3.23692,1.26383,3.2725,0.00101,0.00101,0.00101
27,1023.14,1.29185,0.66978,1.83175,0.94651,0.8921,0.94686,0.55501,3.23499,1.28198,3.30267,0.0009704,0.0009704,0.0009704
28,1060.93,1.30952,0.65099,1.84516,0.96254,0.85356,0.94604,0.55599,3.19814,1.34409,3.26265,0.0009308,0.0009308,0.0009308
29,1098.2,1.27251,0.64408,1.82195,0.95975,0.86513,0.94843,0.56383,3.17231,1.24672,3.2509,0.0008912,0.0008912,0.0008912
30,1135.81,1.25596,0.62898,1.83506,0.94967,0.91137,0.95452,0.56382,3.21587,1.16119,3.33504,0.0008516,0.0008516,0.0008516
31,1174.25,1.19571,0.60731,1.7984,0.95903,0.8719,0.94413,0.56147,3.21052,1.35279,3.39353,0.000812,0.000812,0.000812
32,1213.33,1.1916,0.60945,1.80493,0.96399,0.8769,0.94448,0.56491,3.18808,1.33235,3.28716,0.0007724,0.0007724,0.0007724
33,1253.49,1.13732,0.57997,1.79494,0.95374,0.90042,0.95545,0.56724,3.19675,1.26685,3.32423,0.0007328,0.0007328,0.0007328
